"name","month","opened","responses"
"dev10","2003-02",20,0
"dev11","2003-04",18,20
"dev10","2003-04",53,0
"dev11","2003-03",26,19
"dev78","2015-03",0,1
"dev78","2013-06",0,1
"dev78","2015-08",0,1
"dev10","2003-05",22,0
"dev10","2003-03",15,0
"dev8","2001-03",0,1
"dev78","2014-03",0,1
"dev78","2014-10",0,1
"dev11","2003-05",1,0
"dev9","2010-05",0,2
"dev48","2003-05",0,21
"dev9","2009-12",0,3
"dev9","2010-02",0,5
"dev48","2003-03",1,19
"dev72","2004-09",1,0
"dev50","2013-02",0,1
"dev9","2010-09",0,5
"dev50","2012-05",0,1
"dev9","2010-03",0,2
"dev9","2008-08",0,14
"dev9","2007-10",0,9
"dev9","2007-01",1,17
"dev9","2009-06",4,0
"dev9","2010-01",0,2
"dev9","2009-04",16,0
"dev9","2014-02",0,8
"dev9","2007-06",0,11
"dev9","2007-11",0,2
"dev9","2007-04",0,10
"dev9","2007-07",0,11
"dev9","2007-02",0,4
"dev9","2008-01",0,1
"dev9","2010-07",0,7
"dev48","2003-08",0,14
"dev9","2006-04",1,10
"dev9","2010-06",0,5
"dev72","2001-09",0,2
"dev9","2002-09",0,1
"dev48","2002-11",0,1
"dev9","2003-02",0,4
"dev9","2003-03",0,2
"dev9","2003-04",0,11
"dev9","2003-05",0,5
"dev9","2003-06",0,11
"dev9","2003-07",0,16
"dev9","2003-08",0,23
"dev9","2003-09",0,5
"dev9","2003-10",0,11
"dev9","2003-11",0,10
"dev9","2003-12",0,4
"dev9","2004-01",1,49
"dev49","2004-01",1,0
"dev9","2004-02",0,37
"dev9","2004-03",0,44
"dev9","2004-04",1,52
"dev9","2004-05",1,15
"dev9","2004-06",0,21
"dev9","2004-07",0,19
"dev9","2004-08",0,28
"dev9","2004-09",0,19
"dev9","2004-10",3,18
"dev9","2004-11",0,13
"dev9","2004-12",2,14
"dev9","2005-01",0,38
"dev9","2005-02",1,30
"dev9","2005-03",0,27
"dev9","2005-04",0,26
"dev9","2005-05",0,15
"dev9","2005-06",0,13
"dev9","2005-07",0,6
"dev9","2005-08",0,9
"dev9","2005-09",0,12
"dev9","2005-10",0,12
"dev9","2005-11",0,10
"dev9","2005-12",0,10
"dev9","2006-01",0,15
"dev9","2006-02",0,19
"dev9","2006-03",0,6
"dev9","2006-05",0,12
"dev9","2006-06",0,2
"dev9","2006-08",0,10
"dev9","2006-09",0,7
"dev9","2006-10",0,9
"dev9","2006-11",0,2
"dev9","2007-03",0,6
"dev11","2008-03",0,27
"dev11","2008-05",0,6
"dev50","2008-07",0,1
"dev50","2009-05",0,2
"dev77","2010-06",0,4
"dev50","2010-07",1,1
"dev9","2008-06",0,3
"dev9","2007-05",0,5
"dev9","2007-08",0,6
"dev9","2008-02",0,4
"dev48","2003-07",0,12
"dev9","2008-03",0,7
"dev9","2006-12",1,5
"dev9","2009-11",0,5
"dev9","2007-09",0,3
"dev9","2008-04",0,4
"dev9","2008-05",0,1
"dev9","2009-03",11,0
"dev9","2007-12",0,2
"dev9","2009-05",4,0
"dev49","2003-08",0,3
"dev77","2004-06",0,2
"dev77","2004-07",0,6
"dev77","2004-08",0,14
"dev77","2004-09",0,16
"dev49","2004-09",0,1
"dev77","2004-10",0,20
"dev77","2004-11",0,14
"dev49","2004-11",0,1
"dev77","2004-12",0,15
"dev77","2005-01",0,8
"dev77","2005-02",0,16
"dev49","2005-03",0,2
"dev77","2005-03",0,24
"dev77","2005-04",0,5
"dev77","2005-05",0,9
"dev77","2005-06",0,15
"dev77","2005-07",1,5
"dev11","2005-07",0,1
"dev11","2005-08",1,23
"dev77","2005-08",0,2
"dev11","2005-09",1,31
"dev77","2005-09",0,1
"dev11","2005-10",0,14
"dev11","2005-11",0,23
"dev11","2005-12",0,18
"dev11","2006-01",0,26
"dev11","2006-02",1,25
"dev11","2006-03",0,19
"dev11","2006-04",0,24
"dev49","2006-04",1,1
"dev11","2006-05",0,29
"dev11","2006-06",2,33
"dev11","2006-07",0,13
"dev11","2006-08",0,23
"dev11","2006-09",0,17
"dev11","2006-10",0,27
"dev11","2006-11",0,10
"dev11","2006-12",0,17
"dev11","2007-01",0,41
"dev11","2007-02",1,35
"dev11","2007-03",1,16
"dev11","2007-04",0,21
"dev11","2007-05",0,8
"dev11","2007-06",0,19
"dev11","2007-07",0,9
"dev11","2007-08",0,10
"dev11","2007-09",0,26
"dev11","2007-10",0,30
"dev11","2007-11",0,22
"dev11","2007-12",0,11
"dev11","2008-01",0,25
"dev11","2008-02",0,25
"dev11","2008-04",0,19
"dev11","2008-06",0,11
"dev11","2008-07",0,3
"dev11","2008-08",0,7
"dev11","2008-09",0,7
"dev11","2008-10",0,7
"dev11","2008-11",1,8
"dev11","2008-12",0,2
"dev11","2009-01",0,3
"dev11","2009-02",0,2
"dev10","2009-02",0,1
"dev10","2009-03",0,8
"dev11","2009-03",0,1
"dev10","2009-04",0,1
"dev11","2009-05",0,3
"dev11","2009-06",0,8
"dev11","2009-07",0,2
"dev11","2009-08",0,4
"dev11","2009-09",0,1
"dev11","2009-10",0,6
"dev11","2010-03",0,1
"dev11","2010-09",0,2
"dev49","2011-02",0,1
"dev11","2011-02",0,1
"dev72","2001-06",2,0
"dev9","2009-02",1,0
"dev48","2003-06",1,4
"dev50","2012-08",0,2
"dev9","2010-08",0,1
"dev9","2008-09",0,1
"dev50","2011-10",0,2
"dev50","2012-01",0,1
"dev74","2004-04",1,0
"dev1","2011-12",0,6
"dev1","2013-01",0,2
"dev1","2012-11",0,2
"dev9","2011-02",0,4
"dev9","2009-10",0,1
"dev9","2009-09",0,2
"dev50","2011-03",0,2
"dev77","2010-08",0,4
"dev77","2011-02",0,2
"dev77","2011-03",0,1
"dev77","2010-11",0,3
"dev77","2010-05",0,2
"dev77","2010-07",0,2
"dev77","2011-01",0,1
"dev9","2011-03",0,2
"dev77","2010-09",0,1
"dev8","2001-07",1,0
"dev48","2004-02",1,0
"dev50","2011-12",0,1
"dev1","2000-07",0,1
"dev9","2011-06",0,3
"dev9","2011-04",0,3
"dev9","2011-05",0,3
"dev50","2011-05",0,1
"dev9","2010-10",0,2
"dev9","2013-05",0,2
"dev9","2012-05",0,2
"dev9","2013-08",0,11
"dev9","2012-02",0,2
"dev9","2013-10",0,3
"dev9","2011-12",0,6
"dev9","2013-09",0,1
"dev9","2014-11",0,1
"dev9","2011-07",0,2
"dev9","2012-08",0,1
"dev9","2015-02",0,1
"dev9","2011-08",0,1
"dev74","2004-06",0,1
"dev77","2013-08",0,1
"dev77","2012-09",0,1
"dev77","2012-01",0,1
"dev77","2011-07",0,1
"dev77","2013-07",1,0
"dev77","2013-04",0,1
"dev77","2011-11",0,1
"dev74","2004-11",0,1
"dev74","2004-10",1,0
"dev9","2011-01",0,1
"dev77","2005-10",0,1
"dev77","2005-11",0,4
"dev77","2006-01",0,1
"dev77","2006-02",0,2
"dev77","2006-03",0,2
"dev77","2006-04",0,4
"dev77","2006-05",0,2
"dev77","2006-06",0,4
"dev77","2006-07",0,3
"dev77","2006-08",0,10
"dev77","2006-09",0,10
"dev77","2006-10",0,40
"dev77","2006-11",0,18
"dev77","2006-12",0,25
"dev77","2007-01",0,28
"dev77","2007-02",0,10
"dev77","2007-03",0,6
"dev77","2007-04",0,4
"dev77","2007-05",0,6
"dev77","2007-06",0,19
"dev77","2007-07",0,14
"dev77","2007-08",0,22
"dev77","2007-09",0,22
"dev77","2007-10",0,19
"dev77","2007-11",0,6
"dev77","2007-12",0,6
"dev77","2008-01",0,8
"dev77","2008-02",0,9
"dev77","2008-04",0,7
"dev77","2008-05",0,9
"dev77","2008-06",0,4
"dev77","2008-08",0,2
"dev77","2008-09",0,2
"dev77","2008-10",0,2
"dev77","2008-11",0,3
"dev77","2008-12",0,4
"dev77","2009-01",0,1
"dev77","2009-02",0,1
"dev77","2009-03",0,3
"dev77","2009-04",0,4
"dev77","2009-06",0,2
"dev77","2009-09",0,1
"dev77","2009-11",0,2
"dev77","2010-01",0,1
"dev77","2010-03",0,2
"dev48","2006-01",1,0
"dev50","2012-07",0,1
"dev77","2010-04",0,2
"dev8","2001-12",0,1
"dev72","2002-10",0,1
"dev8","2001-09",1,0
"dev8","2001-10",1,0
